RecordedAtTime,ResponseTimestamp,Latency,OperatorRef
2024-02-22 19:50:36+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:19:20+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 13:25:15+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 13:20:27+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 08:59:16+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:19:21+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 12:49:28+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 13:24:33+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-22 18:04:02+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 10:12:56+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 09:16:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 11:21:52+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 08:11:23+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 08:33:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-23 13:19:36+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 11:10:44+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FRMN
2024-02-23 09:27:23+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-23 09:27:00+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 11:02:57+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 11:24:08+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:16:12+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 10:28:44+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-22 18:45:21+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:26:22+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 13:13:57+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-22 21:19:15+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 08:48:41+00:00,2024-02-23 13:32:19.608194+00:00,120.0,NAKL
2024-02-23 09:32:40+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:29:36+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-22 18:38:32+00:00,2024-02-23 13:32:19.608194+00:00,120.0,COAC
2024-02-23 13:29:48+00:00,2024-02-23 13:32:19.608194+00:00,120.0,LTRV
2024-02-23 00:29:20+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-22 21:02:48+00:00,2024-02-23 13:32:19.608194+00:00,120.0,NATX
2024-02-23 13:28:12+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 09:50:50+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-22 08:15:33+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-22 17:54:19+00:00,2024-02-23 13:32:19.608194+00:00,120.0,LTRV
2024-02-23 13:27:03+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 13:22:34+00:00,2024-02-23 13:32:19.608194+00:00,120.0,PULH
2024-02-22 18:34:42+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-22 16:38:42+00:00,2024-02-23 13:32:19.608194+00:00,120.0,BZCO
2024-02-23 12:26:25+00:00,2024-02-23 13:32:19.608194+00:00,120.0,COAC
2024-02-23 13:30:02+00:00,2024-02-23 13:32:19.608194+00:00,120.0,COAC
2024-02-23 08:47:54+00:00,2024-02-23 13:32:19.608194+00:00,120.0,BZCO
2024-02-23 13:04:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 12:10:54+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-23 13:08:23+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 08:48:42+00:00,2024-02-23 13:32:19.608194+00:00,120.0,BZCO
2024-02-23 08:28:19+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-23 13:02:21+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 11:16:31+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 12:49:03+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCSO
2024-02-23 09:34:32+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 13:09:30+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-22 16:54:50+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 10:14:59+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-22 20:10:45+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-23 13:21:56+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 13:19:14+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 13:29:28+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-22 19:21:21+00:00,2024-02-23 13:32:19.608194+00:00,120.0,LEMB
2024-02-23 08:34:32+00:00,2024-02-23 13:32:19.608194+00:00,120.0,COAC
2024-02-23 13:29:41+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SCGL
2024-02-23 11:08:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 06:40:58+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 10:46:06+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 08:32:37+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 13:21:35+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FSRV
2024-02-23 09:23:24+00:00,2024-02-23 13:32:19.608194+00:00,120.0,TDTR
2024-02-22 19:52:03+00:00,2024-02-23 13:32:19.608194+00:00,120.0,SWWD
2024-02-23 10:08:33+00:00,2024-02-23 13:32:19.608194+00:00,120.0,FBRI
2024-02-23 12:21:18+00:00,2024-02-23 13:32:19.608194+00:00,120.0,ABUS
2024-02-23 13:30:47+00:00,2024-02-23 13:32:51.003836+00:00,120.0,COAC
2024-02-23 13:24:37+00:00,2024-02-23 13:33:43.438217+00:00,120.0,SCGL
2024-02-23 13:30:23+00:00,2024-02-23 13:33:53.891354+00:00,120.0,SCGL
2024-02-23 13:32:44+00:00,2024-02-23 13:36:30.983514+00:00,120.0,SCGL
2024-02-23 13:34:30+00:00,2024-02-23 13:36:41.573311+00:00,120.0,TDTR
2024-02-23 13:35:15+00:00,2024-02-23 13:37:23.408111+00:00,120.0,SCGL
2024-02-23 13:34:49+00:00,2024-02-23 13:38:57.544617+00:00,120.0,LTRV
2024-02-23 13:40:31+00:00,2024-02-23 13:43:40.496451+00:00,120.0,FSRV
2024-02-23 13:37:21+00:00,2024-02-23 13:44:53.790415+00:00,120.0,SWWD
