OperatorRef,LineName,JourneyRef
ACYM,2A,1025
ARBB,5,1080
YSQU,80,1310
GONW,67,0089
BNDB,129,1910
PCCO,LCCC056H,1145
FECS,937,2
BORD,X95,1815
SSWL,150,41
SCCM,PR3,3145
NIBS,43,1
SCMN,15,7081
SCCU,93A,8
TFLO,155,141851
TFLO,H98,340493
FLDS,50,1716
TFLO,H98,340411
GNEL,21,2263
SMMC,497,1738
KBUS,12,101830
SCMN,111,143
ADER,26,1085
SCMN,118,124
TFLO,E8,430351
TFLO,139,685004
FCWL,T1,45
NIBS,81,22
TFLO,219,15769
TFLO,22,100417
WNCT,3,3035
FDOR,10,224
TFLO,250,26558
TFLO,22,100461
TFLO,220,422400
TFCN,12,51
COMT,32,24
SCMN,312,7057
FECS,21,72
TFLO,469,118144
SCMY,21,112
LYNX,38,1
WDBC,18,1721
MULM,988,2
SWWD,2,1710
TFLO,220,422208
SCNE,36,107
TFLO,220,422071
SULV,398,37
TNXB,3,169
ANUM,X22,1053
FBRI,174,2015
SCNE,X47,153
GONW,702,1002
GLLN,386,1745
SCCM,PR2,2143
CNTY,178,1350
TMTL,511,111520
SCNE,13,103
SCNE,23,103
TFLO,182,97313
VECT,F1,89812
NT,44,NT44-Out-5044-NT3390K3-2024-02-12T19:40:00-2024-02-12
ROST,469,3326
GNEL,X20,239
NATX,101,101007
TFLO,125,512949
TFLO,70,167070
TFLO,91,450620
SCCM,53,3034
ADER,904,2026
ARBB,X33,1011
DIAM,18,50
TFLO,220,421956
SCNE,36,116
BLAC,11,1058
WBTR,14,7053
TFLO,SL9,696806
NT,6,NT6-Out-2006-NT3390W4-2024-02-12T17:45:00-2024-02-12
TFLO,483,383861
ROST,481,4209
FCYM,356,1730
SCEK,638,15
NATX,A8,108214
TFLO,126,361657
FMAN,84,2010
NATX,782,782018
TFLO,221,18352
TFLO,K3,693478
SCCM,7,7029
SCCM,6,86
SCNE,6,143
SCNH,D2,28
SCEM,PRO,98
BNVB,925,91520
TFLO,14,412748
BNSM,941,1515
TFLO,221,18621
TFLO,221,18532
BLUS,20,1911
TFLO,221,18227
IPSW,11a,1
TFLO,285,325776
TFLO,223,657197
TFLO,175,25204
TFLO,224,37341
SCCU,600,14
TLCT,256,0
SCOX,10,141
FMAN,59,2022
SDVN,FAL,124
SCGL,351,9
SCMN,197,71
SCMN,255,51
SWCO,58,588
TFLO,254,460238
AMSY,34,1071
TFLO,226,328756
TFLO,226,328959
LEMN,16,115
SCGL,2,52
SCNE,7,121
MNCT,67,8
TFLO,W19,703505
WBSV,446,53
TFLO,SL7,368506
ACYM,12,1120
AMSY,407,1076
FSYO,10,2120C
ANUM,45,1203
AMNO,8,1023
TFLO,646,
SCMN,313,7053
FCYM,21,1847C
FHAM,3,138
AMNO,110,1083
ACYM,11,1030
NT,71B,NT71B-Out-53070-NT3390T3-2024-02-12T18:20:00-2024-02-12
TFLO,329,556719
MBTR,R5,1645
FLEI,88,1820
SDVN,57,102
HCTY,X70,Rudding
SCCM,1,137
KETR,7C,3
NVTR,151,1309
TFLO,54,378325
SCGL,13,123
SCNE,18,42
BNGN,3,1105
FLDS,3A,1844
TFLO,55,489325
FLDS,3A,1744
TFLO,194,47389
TNXB,4A,277
TFLO,189,537187
FESX,552,8
FECS,21A,50
DAGC,32A,157
FCWL,MOUS,40
SCCM,9,3053
SCMY,86,113
SCEK,16,93
SCNE,20,118
GTRI,337,1953
TFLO,55,489257
TFLO,160,394498
FHUD,328,1857
GNEL,16A,1695
TFLO,484,120835
BNVB,955,91510
TFLO,488,482152
TFLO,56,491018
TFLO,325,105967
FECS,6,41
TNXB,11C,373
TFLO,56,491182
WDBC,25,1711
TFLO,57,406474
SCSO,51,86
SCCU,X4,56
SCCU,79,128
TFLO,366,613772
ACYM,4,1048
AMSY,58A,1005
SCNH,56,60
TFLO,57,406501
TFLO,57,406526
FECS,A,103
ANEA,1,1557
TFLO,58,240640
WDBC,9,1730
TFLO,312,554441
SCEM,21,5027
LNUD,152,6641
TFLO,59,491700
AMTM,A,1140
TFLO,314,101417
TFLO,R4,418468
SCGL,8,87
SCNH,3,98
FSMR,30,1746
FHAM,U1,75
TFLO,R5,208843
TFLO,169,343814
TFLO,109,65448
TFLO,109,65956
TFLO,109,66068
TFLO,110,327129
SMMC,497,1805
TFLO,294,196243
SCSO,23,164
IPSW,988,2
ACYM,10,1047
SCOX,TUBE,102
ANEA,63,1117
SCGL,69,10
TFCN,71,26
SCMN,101,7103
KLCO,88,1905
SCEM,6,96
GONW,18,0126
TFCN,11,58
FBRI,X1,1800
TFLO,279,402797
NVTR,72,1620
SCNH,U2,68
TNXB,10,76
TFLO,314,101281
NATX,509,509171
KBUS,5,101756
FCYM,X8,1746
TFLO,394,373950
WRAY,212,1853
TFCN,11,67
TFLO,165,111083
FLDS,3,1912
SCNE,12,147
TFLO,46,626391
WRAY,118,1218
TFLO,314,101323
TFLO,316,308351
BNGN,10,1099
ANWE,79C,1088
TFLO,319,103953
TFLO,319,103648
SCMN,346,7094
TFLO,32,317427
FBRI,74,2000
TBTN,all,702300
FESX,C4,85
TFLO,B15,647780
SCMN,216,167
TFLO,78,433206
HCTY,13,1740
FHAM,9,11
TFLO,111,194394
TFLO,111,194142
TFLO,111,194227
TFLO,112,96583
SCCM,2,3151
TFLO,320,205982
TFLO,112,96419
TFLO,R70,665333
TFLO,113,328558
ARHE,7,1111
FCYM,87,1809
FSYO,15,1823F
COMT,8,16
TFCN,73,28
FLDS,2,1611
FBRI,T1,1819
AMID,48,1131
SCSO,23,166
TFLO,114,598881
TFLO,114,598724
GONW,100,0072
SCSO,60,55
TFLO,115,412271
KDTR,662,2626
TFLO,115,412150
FLDS,5,1908
BLUS,4,1911
RBUS,X4,748
FBRA,X6,1722
SCMY,17,153
NATX,A31,131279
PLYC,14,25
ACYM,11M,1049
SCMY,51,50
KCTB,503,62
NT,87,NT87-In-6087-NT3300GE0664-2024-02-12T19:49:00-2024-02-12
SCSO,100,55
SCNH,48A,47
FSRV,231,1440
SDVN,5B,93
SCEK,1X,1
SCEK,P2,176
HUYT,156,2031
GNEL,26,2653
SCEK,99,82
SSWL,79,54
TFLO,140,199321
TFLO,85,434761
SCMN,203,193
TFLO,423,377817
ANEA,64,1106
KDTR,K7,7437
LNUD,1,1941
TFLO,148,21258
DIAM,15C,12
SCMN,337,7030
SCMN,384,59
SCNH,X10,21
FHAM,PR1,582
FBRI,7,2042
TFLO,141,660297
FBRI,X4,1829
FLDS,X84,1906
SCCM,13,69
TFLO,313,16247
NATX,112,111100
TFLO,286,159578
SSWL,1,221
TFLO,490,362801
SCEM,20,4044
TFLO,115,412211
SCMN,11,62
FHAM,2,175
TFLO,116,120323
SCCU,516,8
WRAY,212,1893
SCMN,396,7003
TFLO,127,259146
AMSY,15,1159
FLDS,33,1924
AMSY,80A,1079
TFLO,128,652460
RBUS,33,92
WRAY,250,2925
TFLO,64,407999
TFLO,128,652561
EYMS,57,0853
FMAN,81,1830
TFLO,13,442496
ROST,402,0854
SCMY,19,164
DAGC,E1,904
NATX,203,203309
LNUD,7,6358
CRDR,74,154
THTR,X40,4036
FBRI,T1,1337
RBUS,702,37
TFLO,27,579046
FBRI,X39,1851
TNXB,79,140
TCVW,85,26
FESX,C11,60
TFLO,SL8,88136
SCMY,38,1060
SCMN,330,137
DAGC,94,143
TNXB,70,47
TNXB,51,127
GNEL,10A,1115
TFLO,27,579182
AMNO,110,1085
HRGT,36,3886
SCMY,2,3
JHCL,834,1610
TFLO,130,313875
FHAM,X5,37
SCNE,6,328
TFLO,133,372687
TFLO,133,372229
SCEK,99,3
