OperatorRef,LineName,JourneyRef,JourneyDate
SYRK,218,514,2024-02-18
PCCO,LCCC051E,0800,2024-02-17
SYRK,88,72,2024-02-17
FSYO,11,1944A,2024-02-17
SCMN,143,69,2024-02-18
FSYO,272,1806G,2024-02-18
SCMN,192,33,2024-02-18
AMSY,414,3041,2024-02-17
AMSY,32,5052,2024-02-18
AMSY,86A,5094,2024-02-18
WBTR,2,4367,2024-02-18
AMSY,898,5027,2024-02-18
NATX,170,170750,2024-02-18
FSYO,73,1816B,2024-02-17
SYRK,61,527,2024-02-18
FSYO,81,1930,2024-02-18
SCMN,143,75,2024-02-18
SCMN,197,9019,2024-02-18
SCMN,197,19,2024-02-17
SCMY,14,68,2024-02-18
FSYO,116,2005A,2024-02-17
SCMN,383,9005,2024-02-18
SCMY,86,114,2024-02-18
SCEM,100,6521,2024-02-17
SCMY,N1,1,2024-02-18
ANWE,110,5102,2024-02-18
SCMN,325,159,2024-02-18
SCMN,111,123,2024-02-17
FSYO,18,1350J,2024-02-17
SCMY,10A,52,2024-02-18
SCMN,330,100,2024-02-17
SCMN,312,9043,2024-02-18
AMSY,76,5023,2024-02-18
AMSY,10A,5209,2024-02-18
AMSY,68A,5042,2024-02-18
SYRK,88,90,2024-02-17
SCMN,313,8045,2024-02-17
AMSY,7,3058,2024-02-17
SCMN,378A,9021,2024-02-18
SCMN,142,201,2024-02-18
SCMN,42,76,2024-02-18
SCMN,50,69,2024-02-18
AMSY,471,5035,2024-02-18
SCMN,358,9022,2024-02-18
SCMN,325,115,2024-02-17
SCMN,368,9046,2024-02-18
SCMN,143,97,2024-02-18
BEVC,280,1850,2024-02-17
AMSY,82,3148,2024-02-17
HUYT,2481,1645,2024-02-18
SCMN,43,90,2024-02-18
SCMY,14,70,2024-02-18
SYRK,1,111,2024-02-17
AMSY,12,5121,2024-02-18
SCMN,15,63,2024-02-17
NATX,540,540899,2024-02-17
ANWE,247,3040,2024-02-17
FSYO,76,1830,2024-02-18
AMSY,10,3169,2024-02-18
FSYO,98,1834B,2024-02-18
SYRK,25,94,2024-02-17
SYRK,88,54,2024-02-17
WBTR,20,7967,2024-02-18
AMSY,500,5061,2024-02-18
SCMN,11,9145,2024-02-18
SCMN,150,9024,2024-02-18
SCMN,43,85,2024-02-18
AMSY,86A,5092,2024-02-18
SYRK,6,523,2024-02-17
AMSY,300,5022,2024-02-18
TMTL,9A,711607,2024-02-18
GONW,100,0664,2024-02-18
SCMN,42,63,2024-02-18
SCMN,43,113,2024-02-17
ANWE,19,3036,2024-02-17
SCMN,86,285,2024-02-18
WBTR,21,8383,2024-02-18
SYRK,57,46,2024-02-17
SCMN,142,140,2024-02-18
SCMN,384,9041,2024-02-18
ANWE,282,5023,2024-02-18
SCMN,192,441,2024-02-17
SCMN,43,108,2024-02-17
WBTR,21,8291,2024-02-17
SCMN,85,43,2024-02-18
SCMN,143,105,2024-02-18
SCMN,11,8807,2024-02-18
SCMY,17A,83,2024-02-18
SCMY,17,85,2024-02-18
SCMN,111,119,2024-02-17
SCEM,2,6522,2024-02-17
SCMN,358,8024,2024-02-17
AMSY,47,5044,2024-02-18
AMSY,82,5094,2024-02-18
AMSY,411,5039,2024-02-18
AMSY,411,5041,2024-02-18
SCMN,11,9140,2024-02-18
AMSY,201,5005,2024-02-18
SCMN,111,31,2024-02-18
WBTR,25,8922,2024-02-17
FSYO,82,1907,2024-02-17
SYRK,88,36,2024-02-18
ANWE,19,5023,2024-02-18
SCMN,172,9025,2024-02-18
NATX,195,240244,2024-02-18
PCCO,LCCC051N,0730,2024-02-17
WBTR,21,8385,2024-02-18
AMSY,492,5008,2024-02-18
FSYO,10,2005A,2024-02-18
SCMN,314,77,2024-02-17
AMSY,15,3123,2024-02-18
SCMN,50,71,2024-02-18
SYRK,1,104,2024-02-17
TMTL,252,601325,2024-02-17
SCMN,43,112,2024-02-17
AMSY,432,3066,2024-02-17
AMSY,699,5035,2024-02-18
SCMY,10A,63,2024-02-18
FSYO,95,2323,2024-02-18
SCMN,256,9001,2024-02-18
AMSY,12,5129,2024-02-18
FSYO,X1,1916,2024-02-18
FSYO,56,1934,2024-02-18
FSYO,272,1608G,2024-02-18
AMSY,82,5093,2024-02-18
AMSY,310,5023,2024-02-18
SYRK,57,42,2024-02-17
WBTR,SB1,2340,2024-02-17
SCMN,23,52,2024-02-18
SCMN,143,120,2024-02-18
SCMN,375,9011,2024-02-18
WBTR,CAT5,5160,2024-02-17
AMSY,26,5067,2024-02-18
SYRK,22X,62,2024-02-17
SCMY,82,85,2024-02-18
FSYO,116,1912,2024-02-18
FSYO,95,1742,2024-02-18
AMSY,52A,5007,2024-02-18
SCMY,86,86,2024-02-18
ANWE,82A,5051,2024-02-18
SCMY,1,63,2024-02-18
SCMN,86,354,2024-02-18
SCMY,14,60,2024-02-17
SCMN,192,197,2024-02-17
SCMN,142,133,2024-02-18
FSYO,82,1552,2024-02-17
WBTR,CAT5,5154,2024-02-17
WBTR,2,4397,2024-02-18
AMSY,75,5060,2024-02-18
SCMN,314,75,2024-02-17
AMSY,89,3066,2024-02-17
AMSY,144E,5023,2024-02-18
AMSY,32A,5047,2024-02-18
AMSY,14,5074,2024-02-18
DAGC,88,522,2024-02-17
FSYO,24,1912C,2024-02-18
SCMN,25,24,2024-02-17
AMSY,52A,5031,2024-02-18
AMSY,81,5042,2024-02-18
AMSY,10A,3179,2024-02-18
AMSY,61,5047,2024-02-18
AMSY,18,5069,2024-02-18
SYRK,1,98,2024-02-17
SCMN,312,9039,2024-02-18
HUYT,174,1903,2024-02-18
